Category,Query,What a failure proves,ChatGPT,Claude,Perplexity,Gemini,Google AI Overviews,Copilot,Cited source / notes
A,What is CANSO and what does it do?,"Cites Wikipedia/aggregators, not canso.org = authority leak.",,,,,,,
A,Who is the CEO of CANSO?,"Wrong/outdated name, or no canso.org citation.",,,,,,,
A,Is CANSO a regulator or a trade association?,Role confusion = entity not well defined for AI.,,,,,,,
B,When and where is Airspace World 2026?,"Wrong dates/venue, or no official-site citation.",,,,,,,
B,What are the eight conference themes at Airspace World 2026?,KNOWN FAIL: AI paraphrases instead of naming the official themes.,,,,,,,
B,How many delegates and countries attend Airspace World 2026?,Inconsistent numbers across engines = no canonical figure.,,,,,,,
B,Who organises Airspace World?,"CANSO not named, or third-party cited.",,,,,,,
C,Who delivered the keynote at the CANSO Leadership Summit 2026?,“I don’t know” or missing detail = recency gap.,,,,,,,
C,Who is Kiko Dontchev and where did he speak in 2026?,No link between speaker and the CANSO event.,,,,,,,
C,Who moderated the panel after the SpaceX keynote at Airspace World 2026?,Deep-detail recall the official pages don’t expose.,,,,,,,
D,What did industry leaders say about SES2+ implementation at Airspace World 2026?,CANSO convened it but isn’t the cited source.,,,,,,,
D,What was discussed about U-space / drone integration at Airspace World 2026?,"Generic answer, event insight not surfaced.",,,,,,,
D,What are the key 2026 trends in air traffic management?,Competitors/aggregators cited over CANSO.,,,,,,,
E,What are the most important air traffic management conferences in 2026?,Airspace World absent or buried below listicles.,,,,,,,
E,Where can ANSP executives learn about the future of airspace?,CANSO not recommended.,,,,,,,
F,What were the key takeaways from Airspace World 2026?,Thin/generic = the insight evaporated.,,,,,,,
F,Summarise the outcomes of the CANSO Leadership Summit 2026.,"No durable, citable record exists.",,,,,,,
G,"Re-ask any A–F query, then tally the sources panel: canso.org vs Wikipedia / atc-network / aggregators.",Organiser rarely the cited authority on its own event.,,,,,,,
